amzer,ˈɑ̃mzɛr,00001.wav
bara,ˈbɑ:ra,00002.wav
bihan,ˈbiɑ̃n,00003.wav
bras,ˈbrɑ:s,00004.wav
brav,ˈbraw,00005.wav
bremañ,ˈbremɑ̃,00006.wav
chom,ˈʃɔm,00007.wav
debriñ,ˈdebri,00008.wav
dont,ˈdõnt,00009.wav
dour,ˈdu:r,00010.wav
eñ,ˈẽ,00011.wav
fall,ˈfal,00012.wav
fri,ˈfri:,00013.wav
glav,ˈglaw,00014.wav
hi,ˈhi:,00015.wav
kador,ˈkɑ:dɔr,00016.wav
kalz,ˈkals,00017.wav
kanañ,ˈkɑ̃:nɑ̃,00018.wav
kazh,ˈkɑ:s,00019.wav
ken,ˈken,00020.wav
ki,ˈki:,00021.wav
kig,ˈkik,00022.wav
kousket,ˈkuskɛt,00023.wav
labourat,laˈbu:rat,00024.wav
mamm,ˈmɑ̃m,00025.wav
mont,ˈmõnt,00026.wav
mor,ˈmo:r,00027.wav
nevez,ˈne:ves,00028.wav
ober,ˈo:bɛr,00029.wav
paotr,ˈpɔtr,00030.wav
prenañ,ˈpre:nɑ̃,00031.wav
sevel,ˈse:vɛl,00032.wav
skol,ˈsko:l,00033.wav
skuizh,ˈskɥi:s,00034.wav
tad,ˈtɑ:t,00035.wav
tamm,ˈtɑ̃m,00036.wav
taol,ˈtɔ:l,00037.wav
ti,ˈti:,00038.wav
yar,ˈja:r,00039.wav
da,dɑ:,00040.wav
ebet,eˈbet,00041.wav
soubenn,ˈsu:bɛn,00042.wav
war,war,00043.wav
all,ˈal,00044.wav
bloaz,ˈblwɑ:s,00045.wav
buan,ˈbyɑ̃n,00046.wav
daouzek,ˈdɔwzek,00047.wav
dirak,diˈra:k,00048.wav
eizh,ˈɛjs,00049.wav
gwele,ˈgwe:le,00050.wav
ivez,ˈi:ves,00051.wav
koant,ˈkwɑ̃nt,00052.wav
lakaat,laˈkɑ:t,00053.wav
lenn,ˈlɛn,00054.wav
mercʼh,ˈmɛrx,00055.wav
mintin,ˈmintin,00056.wav
nav,ˈnaw,00057.wav
selaou,ˈse:lɔw,00058.wav
setu,ˈsety,00059.wav
teir,ˈtɛjr,00060.wav
troad,ˈtroat,00061.wav
ugent,ˈy:gɛnt,00062.wav
yaouank,ˈjɔwɑ̃ŋk,00063.wav
aod,ˈɔ:t,00064.wav
aval,ˈɑ:val,00065.wav
berr,ˈbɛr,00066.wav
cʼhoazh,ˈxwas,00067.wav
cʼhwi,ˈxwi:,00068.wav
dor,ˈdo:r,00069.wav
douar,ˈduar,00070.wav
du,dy:,00071.wav
echu,ˈeʃy,00072.wav
evañ,ˈe:vɑ̃,00073.wav
e-barzh,eˈbars,00074.wav
glas,ˈglɑ:s,00075.wav
gwalcʼhiñ,ˈgwalxi,00076.wav
gwenn,ˈgwɛn,00077.wav
gwreg,ˈgwrek,00078.wav
ha,a,00079.wav
he,ˈe,00080.wav
hent,ˈhɛnt,00081.wav
heol,ˈhɛwl,00082.wav
hini,ˈhi:ni,00083.wav
hir,ˈhi:r,00084.wav
kalet,ˈkɑ:lɛt,00085.wav
kavout,ˈkɑ:vut,00086.wav
kêr,kɛ:r,00087.wav
klañv,ˈklɑ̃w,00088.wav
kouezhañ,ˈkwe:zɑ̃,00089.wav
kozh,ko:s,00090.wav
kreisteiz,krɛjsˈtɛjs,00091.wav
labous,ˈlɑ:bus,00092.wav
levr,ˈlɛwr,00093.wav
lizher,ˈli:zɛr,00094.wav
logod,ˈlo:gɔt,00095.wav
mab,ˈmɑ:p,00096.wav
melen,ˈme:lɛn,00097.wav
miz,ˈmi:s,00098.wav
nemet,neˈmet,00099.wav
pegen,peˈgɛn,00100.wav
pell,ˈpɛl,00101.wav
pesk,ˈpesk,00102.wav
pet,pe:t,00103.wav
piv,ˈpiw,00104.wav
re,ˈre:,00105.wav
redek,ˈre:dɛk,00106.wav
ruz,ˈry:s,00107.wav
skrivañ,ˈskri:vɑ̃,00108.wav
tad-kozh,tatˈko:s,00109.wav
tan,ˈtɑ̃:n,00110.wav
te,ˈte:,00111.wav
trouz,ˈtru:s,00112.wav
tud,ˈty:t,00113.wav
uhel,ˈyɛl,00114.wav
vi,vi:,00115.wav
yacʼh,ˈjax,00116.wav
yen,ˈje:n,00117.wav
banne,ˈbɑ̃ne,00118.wav
hemañ,ˈhemɑ̃,00119.wav
tapout,ˈtaput,00120.wav
boued,ˈbwet,00121.wav
labour,ˈlɑ:bur,00122.wav
leun,ˈlø:n,00123.wav
loen,ˈlwẽ:n,00124.wav
